,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp_Total,Att_Total,Cmp%_Total,TotDist,PrgDist,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Touches,T_Def Pen,T_Def 3rd,T_Mid 3rd,T_Att 3rd,T_Att Pen,T_Live,Drib_Att,Drib_Succ,Drib_Succ%,Drib_Tkld,Drib_Tkld%,Carries,Carry_TotDist,Carry_PrgDist,Carry_PrgNum,Carry_1/3,Carry_PA,Carry_Miscon,Carry_Dispos,Rec,Rec_Prg,D_Tkl,D_TklW,Tkl_Def 3rd,Tkl_Mid 3rd,Tkl_Att 3rd,Chal_Tkl,Chal_Att,Chal_Tkl%,Chal_Lost,Blocks,B_Sh,B_Pass,Int,Tkl+Int,Clr,Err
0,Max Aarons,ENG,DF,Bournemouth,Premier League,23.0,2000.0,13.7,0,2,0,0.0,0.15,0.0,0.0,0.0,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,0.2,7,25,13,2,43,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0
1,Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22.0,2000.0,14.1,2,18,7,38.9,1.28,0.5,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2,1.9,2.0,0.1,22,30,14,3,56,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0,675,11,108,301,293,47,675,77,34,44.2,41,53.2,406,2721,1387,37,29,9,41,38,457,91,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0
2,Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19.0,2003.0,1.1,0,2,2,100.0,1.78,1.78,0.0,0.0,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,1,0.1,0.1,0.9,1,4,2,0,5,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0,72,0,6,39,28,5,72,7,2,28.6,4,57.1,43,193,50,2,0,1,5,4,46,7,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0
3,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17.0,2006.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,100.0,8,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0,0,0.0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
4,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35.0,1987.0,30.9,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,0.6,0.4,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0,0.3,0.6,-0.3,8,129,3,0,137,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,36,19,0,23,4,1403,9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2
5,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23.0,2000.0,16.9,0,5,0,0.0,0.3,0.0,0.0,0.0,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,0,0.5,1.1,-0.5,6,87,5,2,78,27,1.6,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,9,33,0,23,11,780,20,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0
6,Nabil Aberdin,FRA,DF,Getafe,La Liga,20.0,2002.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,60,79,75.9,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0,0.0,0.0,0.0,0,4,0,0,7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,87,4,37,49,1,1,87,0,0,0.0,0,0.0,47,326,183,0,0,0,1,1,54,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30.0,1993.0,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,0.9,0.9,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1,2.2,1.9,-1.2,30,188,23,3,194,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1,2164,105,553,1288,349,10,2164,65,44,67.7,18,27.7,1649,8707,3892,38,49,3,32,30,1502,51,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3
8,Matthis Abline,FRA,FW,Nantes,Ligue 1,20.0,2003.0,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,1.2,1.2,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0,2.0,0.9,-2.0,17,6,7,2,20,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,28,24,14,50,14,287,87,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0
9,Abner,BRA,DF,Betis,La Liga,23.0,2000.0,15.6,0,4,0,0.0,0.26,0.0,0.0,0.0,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,14,0.9,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0
10,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23.0,2000.0,8.4,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,2.8,2.0,0.07,0.2,0.0,140,196,71.4,2025,599,70,95,73.7,53,66,80.3,6,8,75.0,0,0.2,1.1,-0.2,5,10,9,1,20,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0,305,1,27,123,161,38,304,31,8,25.8,22,71.0,233,1651,745,23,13,8,22,12,229,75,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0
11,Abdel Abqar,MAR,DF,Alavés,La Liga,24.0,1999.0,25.7,0,10,3,30.0,0.39,0.12,0.0,0.0,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,553,762,72.6,12370,4872,141,164,86.0,302,339,89.1,99,225,44.0,0,0.2,0.2,-0.2,3,61,2,0,49,12,0.47,9,0,0,2,1,0,0,0.0,0,0,0,0,0,0,1032,191,570,422,42,21,1032,5,3,60.0,1,20.0,492,2460,1418,7,6,0,15,1,499,1,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0
12,Tammy Abraham,ENG,FW,Roma,Serie A,25.0,1997.0,2.7,1,4,2,50.0,1.49,0.74,0.25,0.5,11.9,0,0,0,0.6,0.6,0.15,0.4,0.4,19,40,47.5,231,75,14,25,56.0,4,9,44.4,0,1,0.0,0,0.1,0.0,-0.1,3,1,1,0,4,3,1.12,1,0,0,0,1,1,1,0.37,0,0,0,0,1,0,69,4,4,31,34,9,69,6,2,33.3,4,66.7,37,208,111,6,2,2,9,2,53,15,3,1,0,1,2,0,0,0.0,0,1,0,1,0,3,4,0
13,Francesco Acerbi,ITA,DF,Inter,Serie A,35.0,1988.0,26.5,3,15,6,40.0,0.57,0.23,0.2,0.5,12.0,0,0,0,1.6,1.6,0.11,1.4,1.4,1615,1781,90.7,29326,9174,601,650,92.5,856,908,94.3,132,179,73.7,1,1.8,1.3,-0.8,7,58,5,2,87,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0,1977,219,941,946,98,25,1977,3,2,66.7,1,33.3,1211,5779,3081,21,11,0,4,1,1446,24,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1
14,Joshua Acheampong,ENG,DF,Chelsea,Premier League,17.0,2006.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,2,50.0,18,7,0,0,0.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,1,15.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,6,5,5,0,1,0,6,0,0,0.0,0,0.0,1,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,3,0,0,0,0,0
